V (V)	dV (V)	I (A)	dI (A)
0		-0.0000002	0.0000001
0.5		-0.0000004	0.0000001
1		-0.0000004	0.0000001
1.5		-0.0000004	0.0000001
2		-0.0000004	0.0000001
2.5		-0.0000004	0.0000001
2.7		0.0000012	0.0000001
2.75		0.0000032	0.0000001
2.8		0.0000081	0.0000001
2.85		0.00002	0.000001
2.9		0.000051	0.000001
2.95		0.000147	0.000001
3		0.000461	0.000001
3.05		0.001456	0.000002
3.1		0.003829	0.000002
3.15		0.00775	0.00002
3.2		0.01313	0.00002
3.25		0.01947	0.00003
3.3		0.02699	0.00002
3.35		0.0357	0.0003
3.4		0.0455	0.0003
3.45		0.0555	0.0003
3.5		0.0674	0.0003
3.55		0.0805	0.0003
3.6		0.0926	0.0002
3.65		0.1135	0.0002
3.7		0.126	0.001
3.75		0.138	0.001
3.8		0.15	0.001
