V (V)	dV (V)	I (A)	dI (I)
-6.864	0.0001	-0.0779	0.0002
-6.8		-0.0348	0.0002
-6.6		-0.00000096	0.00000001
-6.4		-0.000000422	0.000000001
-6.2		-0.000000225	0.000000001
-6		-0.000000131	0.000000001
-5.8		-8.11E-08	1E-10
-5.6		-5.22E-08	2E-10
-5.4		-3.48E-08	1E-10
-5.2		-2.37E-08	1E-10
-5		-1.66E-08	1E-10
-4.8		-1.19E-08	1E-10
-4.6		-8.62E-09	-2E-11
-4.4		-6.34E-09	0.03*10^(-9)
-4.2		-4.71E-09	2E-11
-4		-3.53E-09	1E-11
-3.8		-2.66E-09	1E-11
-3.6		-2.05E-09	1E-11
-3.4		-1.57E-09	1E-11
-3.2		-1.22E-09	1E-11
-3		-9.52E-10	2E-12
-2.8		-7.46E-10	4E-12
-2.6		-5.86E-10	2E-12
-2.4		-4.64E-11	2E-12
-2.2		-3.69E-10	1E-12
-2		-2.96E-10	1E-12
-1.8		-2.39E-10	0.001*10^(-9)
-1.6		-1.95E-10	1E-12
-1.4		-1.59E-10	1E-12
-1.2		-1.3E-10	1E-12
-1		-1.07E-10	1E-12
-0.8		-8.7E-11	1E-12
-0.6		-7.1E-11	1E-12
-0.4		-5.7E-11	1E-12
-0.2		-4.4E-11	1E-12
0		-3.2E-11	1E-12
0.2		3.15E-10	1E-12
0.4		0.000000211	0.000000001
0.6		0.000226	0.000001
0.8		0.0977	0.0002
1.006		0.492	0.001
