V (V)	dV (V)	I (A)	dI (A)
0.01	0.0001	0.000000364	0.000000001
0.02	0.0001	0.000000832	0.000000003
0.03	0.0001	0.000001505	0.000000002
0.04	0.0001	0.00000237	0.00000001
0.05	0.0001	0.00000357	0.00000001
0.06	0.0001	0.00000515	0.00000001
0.07	0.0001	0.00000729	0.00000001
0.08	0.0001	0.00000996	0.00000001
0.09	0.0001	0.00001345	0.00000001
0.1	0.0001	0.00001783	0.00000001
0.11	0.0001	0.00002355	0.00000001
0.12	0.0001	0.00003046	0.00000003
0.13	0.0001	0.00003932	0.00000003
0.14	0.0001	0.0000501	0.00000005
0.15	0.0001	0.00006302	0.00000002
0.16	0.0001	0.0000795	0.0000001
0.17	0.0001	0.0000992	0.0000001
0.18	0.0001	0.0001237	0.0000001
0.19	0.0001	0.000153	0.0000001
0.2	0.0001	0.0001892	0.0000001
0.21	0.0001	0.0002316	0.0000001
0.22	0.0001	0.0002847	0.000001
0.23	0.0001	0.0003459	0.000001
0.24	0.0001	0.0004224	0.0000002
0.25	0.0001	0.0005115	0.0000003
0.26	0.0001	0.000621	0.000001
0.27	0.0001	0.000748	0.0000002
0.28	0.0001	0.000898	0.000001
0.29	0.0001	0.001083	0.000001
0.3	0.0001	0.001291	0.000001
0.31	0.0001	0.001546	0.000001
0.32	0.0001	0.001832	0.000001
0.33	0.0001	0.002179	0.000001
0.34	0.0001	0.002565	0.000002
0.35	0.0001	0.003022	0.000001
0.36	0.0001	0.003534	0.000001
0.37	0.0001	0.004128	0.000001
0.38	0.0001	0.004783	0.000002
0.39	0.0001	0.005537	0.000002
0.4	0.0001	0.006362	0.000003
0.41	0.0001	0.00731	0.00001
0.42	0.0001	0.00833	0.00001
0.43	0.0001	0.00945	0.00001
0.44	0.0001	0.01071	0.00001
0.45	0.0001	0.01207	0.00001
0.46	0.0001	0.01359	0.00001
0.47	0.0001	0.01517	0.00001
0.48	0.0001	0.01696	0.00001
0.49	0.0001	0.01879	0.00001
0.5	0.0001	0.0209	0.00001
0.51	0.0001	0.02302	0.00001
0.52	0.0001	0.02537	0.00001
0.53	0.0001	0.02779	0.00002
0.54	0.0001	0.03055	0.00001
0.55	0.0001	0.03328	0.00001
0.56	0.0001	0.03619	0.00002
0.57	0.0001	0.03934	0.00002
0.58	0.0001	0.04262	0.00003
0.59	0.0001	0.0462	0.00002
0.6	0.0001	0.04979	0.00002
0.61	0.0001	0.05386	0.00002
0.62	0.0001	0.05764	0.00002
0.63	0.0001	0.06185	0.00002
0.64	0.0001	0.06617	0.00003
0.652	0.0001	0.07175	0.00002
