V (V)	dV (V)	I (A)	dI (A)
-10		-0.0000016	0.0000001
-9.5		-0.00000157	0.0000001
-9		-0.00000154	0.0000001
-8.5		-0.00000151	0.0000001
-8		-0.00000148	0.0000001
-7.5		-0.00000146	0.00000001
-7		-0.00000143	0.00000001
-6.5		-0.0000014	0.00000001
-6		-0.00000137	0.00000001
-5.5		-0.00000134	0.00000001
-5		-0.00000131	0.00000001
-4.5		-0.00000128	0.00000001
-4		-0.00000125	0.00000001
-3.5		-0.00000122	0.00000001
-3		-0.00000118	0.00000001
-2.5		-0.00000115	0.00000001
-2		-0.0000011	0.00000001
-1.5		-0.00000106	0.00000001
-1		-0.00000101	0.00000001
-0.5		-0.00000094	0.00000001
0		2.22E-08	0.000000001
0.1		0.00001867	0.00000002
0.2		0.00001958	0.0000001
0.3		0.001328	0.000001
0.4		0.006459	0.000003
0.5		0.02105	0.00004
0.652		0.0719	0.0005
