V (V)	dV (V)	I (A)	dI (A)
0	0.0001	-1.000E-12	1E-12
0.01	0.0001	-1.000E-12	1E-12
0.02	0.0001	1.000E-12	1E-12
0.03	0.0001	4.000E-12	1E-12
0.04	0.0001	5.000E-12	1E-12
0.05	0.0001	6.000E-12	1E-12
0.06	0.0001	8.000E-12	1E-12
0.07	0.0001	1.100E-11	1E-12
0.08	0.0001	1.400E-11	1E-12
0.09	0.0001	1.900E-11	1E-12
0.1	0.0001	2.500E-11	1E-12
0.11	0.0001	3.200E-11	1E-12
0.12	0.0001	4.200E-11	1E-12
0.13	0.0001	5.500E-11	1E-12
0.14	0.0001	7.300E-11	1E-12
0.15	0.0001	9.500E-11	1E-12
0.16	0.0001	1.270E-10	1E-12
0.17	0.0001	1.680E-10	1E-12
0.18	0.0001	2.250E-10	1E-12
0.19	0.0001	3.000E-10	1E-12
0.2	0.0001	4.060E-10	1E-12
0.21	0.0001	5.460E-10	2E-12
0.22	0.0001	7.450E-10	2E-12
0.23	0.0001	1.007E-09	3E-12
0.24	0.0001	1.384E-09	2E-12
0.25	0.0001	1.891E-09	2E-12
0.26	0.0001	2.609E-09	3E-12
0.27	0.0001	3.579E-09	5E-12
0.28	0.0001	4.919E-09	3E-12
0.29	0.0001	6.832E-09	3E-12
0.3	0.0001	9.407E-09	5E-12
0.31	0.0001	1.334E-08	1E-11
0.32	0.0001	1.842E-08	1E-11
0.33	0.0001	2.573E-08	2E-11
0.34	0.0001	3.542E-08	3E-11
0.35	0.0001	4.931E-08	3E-11
0.36	0.0001	6.700E-08	0.000000001
0.37	0.0001	9.460E-08	2E-10
0.38	0.0001	1.313E-07	2E-10
0.39	0.0001	1.821E-07	2E-10
0.4	0.0001	2.498E-07	3E-10
0.41	0.0001	3.480E-07	0.000000001
0.42	0.0001	4.780E-07	0.000000001
0.43	0.0001	6.610E-07	0.000000001
0.44	0.0001	9.230E-07	0.000000001
0.45	0.0001	1.282E-06	0.000000001
0.46	0.0001	1.803E-06	0.000000002
0.47	0.0001	2.516E-06	0.000000003
0.48	0.0001	3.559E-06	0.000000002
0.49	0.0001	4.993E-06	0.000000005
0.5	0.0001	7.090E-06	0.00000001
0.51	0.0001	1.001E-05	0.00000001
0.52	0.0001	1.246E-05	0.0000003
0.53	0.0001	1.940E-05	0.0000001
0.54	0.0001	2.790E-05	0.0000001
0.55	0.0001	3.980E-05	0.0000001
0.56	0.0001	5.710E-05	0.0000001
0.57	0.0001	8.270E-05	0.0000001
0.58	0.0001	1.182E-04	0.0000001
0.59	0.0001	1.721E-04	0.0000001
0.6	0.0001	2.470E-04	0.000001
0.61	0.0001	3.590E-04	0.000001
0.62	0.0001	5.190E-04	0.000001
0.63	0.0001	7.560E-04	0.000001
0.64	0.0001	1.092E-03	0.000001
0.65	0.0001	1.588E-03	0.000001
