V_a (V),d V_a (V),I_H (A),d I_H(A),r (cm),dr (cm),,
500,2,1.967,0.0002,5,0.05,,
490,2,1.9237,0.0002,5,0.05,,
480,2,1.9147,0.0002,5,0.05,,
470,2,1.8923,0.0002,5,0.05,,
460,2,1.833,0.0002,5,0.05,,
450,2,1.8329,0.0005,5,0.05,,
440,2,1.7936,0.0002,5,0.05,,
430,2,1.761,0.0004,5,0.05,,
420,2,1.75,0.0003,5,0.05,,
410,2,1.723,0.0002,5,0.05,,
400,2,1.6802,0.0004,5,0.05,,
390,2,1.6644,0.0001,5,0.05,,
380,2,1.6271,0.0002,5,0.05,,
370,2,1.602,0.0005,5,0.05,,
360,2,1.5908,0.0002,5,0.05,,
350,2,1.5735,0.0002,5,0.05,,
340,2,1.5335,0.0004,5,0.05,,
330,2,1.5029,0.0001,5,0.05,,
320,2,1.4727,0.0002,5,0.05,,
310,2,1.4507,0.0005,5,0.05,,
300,2,1.3773,0.0003,5,0.05,,
290,2,1.3654,0.0002,5,0.05,,
280,2,1.2609,0.0002,5,0.05,,
270,2,1.2224,0.0002,5,0.05,,
260,2,1.1568,0.0002,5,0.05,,
250,2,1.0945,0.0001,5,0.05,,
240,2,1.0495,0.0003,5,0.05,,
500,2,2.4244,0.0004,4,0.05,,
490,2,2.3933,0.001,4,0.05,,
480,2,2.375,0.001,4,0.05,,
470,2,2.3421,0.0001,4,0.05,,
460,2,2.3317,0.0004,4,0.05,,
450,2,2.2939,0.0002,4,0.05,,
440,2,2.2565,0.0002,4,0.05,,
430,2,2.2353,0.0003,4,0.05,,
420,2,2.1965,0.0002,4,0.05,,
410,2,2.1795,0.0002,4,0.05,,
400,2,2.1401,0.0002,4,0.05,,
390,2,2.1076,0.0001,4,0.05,,
380,2,2.067,0.0002,4,0.05,,
370,2,2.0236,0.0002,4,0.05,,
360,2,2.0077,0.0001,4,0.05,,
350,2,1.9886,0.0002,4,0.05,,
340,2,1.9541,0.0002,4,0.05,,
330,2,1.9199,0.0001,4,0.05,,
320,2,1.8743,0.0002,4,0.05,,
310,2,1.8035,0.0004,4,0.05,,
300,2,1.7419,0.0001,4,0.05,,
290,2,1.6966,0.0001,4,0.05,,
280,2,1.5788,0.0001,4,0.05,,
270,2,1.545,0.0001,4,0.05,,
260,2,1.4898,0.0001,4,0.05,,
250,2,1.4332,0.0001,4,0.05,,
240,2,1.4024,0.0001,4,0.05,,
450,2,2.7439,0.0001,3,0.05,,
440,2,2.7169,0.001,3,0.05,,s
430,2,2.6718,0.0001,3,0.05,,
420,2,2.6183,0.0001,3,0.05,,
410,2,2.5797,0.0001,3,0.05,,
400,2,2.5075,0.0001,3,0.05,,
390,2,2.4645,0.0002,3,0.05,,
380,2,2.396,0.0005,3,0.05,,
370,2,2.3448,0.0002,3,0.05,,
360,2,2.3202,0.001,3,0.05,,
350,2,2.2762,0.0003,3,0.05,,
340,2,2.2267,0.0005,3,0.05,,
330,2,2.1815,0.0002,3,0.05,,
320,2,2.145,0.0002,3,0.05,,
310,2,2.0747,0.001,3,0.05,,
300,2,2.0155,0.0003,3,0.05,,
290,2,1.9931,0.0001,3,0.05,,
280,2,1.9343,0.0002,3,0.05,,
270,2,1.894,0.0002,3,0.05,,
260,2,1.8499,0.0002,3,0.05,,
250,2,1.8055,0.0001,3,0.05,,
240,2,1.7244,0.0004,3,0.05,,
