V (V)	dV (V)	V_preamp (V)	dV_preamp (V)	I (nA)	dI (nA)	cloud
0	0.1	-0.107	0.001	-1.151529399	-0.01587466	
5	0.1	0.339	0.002	3.648303424	0.0427815	
10	0.1	1.253	0.020	13.48473213	0.254956943	
15	0.1	1.956	0.005	21.0503879	0.220010803	
20	0.1	0.766	0.001	8.243659065	0.084233273	1st cloud
25	0.1	3.302	0.010	35.53598203	0.375865502	
30	0.1	6.301	0.100	67.81109108	1.276893514	
35	0.1	4.452	0.300	47.91223258	3.26489447	2nd cloud
40	0.1	5.663	0.100	60.94496252	1.240831426	
45	0.1	10.038	0.500	108.0285244	5.491218487	
50	0.1	8.725	0.500	93.89807486	5.464470606	3rd cloud
55	0.1	8.113	0.400	87.31175718	4.394779715	
60	0.1	8.401	0.400	90.41120079	4.40121136	
65	0.1	9.565	0.300	102.9381187	3.392938706	all clouds are mushed together
70	0.1	9.156	0.100	98.53647833	1.468120356	mushy clouds
75	0.1	10.542	0.200	113.4525507	2.440229016	
80	0.1	11.349	0.001	122.13745	1.237813028	clouds have gotten underneath
