second	Volt1	Volt2	clean	background	clean-back	dR/dN
-5.00E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	
-5.00E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.99E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.99E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.98E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.98E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.97E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.97E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.96E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.96E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.95E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.95E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.94E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.94E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.93E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.93E-02	1.94E+00	-6.15E-02	#N/A	-2.31E+00	#N/A	#N/A
-4.92E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.92E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.91E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.91E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.90E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.90E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.89E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.89E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.88E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.88E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.87E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.87E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.86E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.86E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.85E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.85E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.84E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-4.84E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.83E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.83E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.82E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-4.82E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
