second,Volt1,Volt2
-50.00000E-03,+1.94472322E+00,-1.46854311E+00
-49.95000E-03,+1.94472322E+00,-1.26753809E+00
-49.90000E-03,+1.94472322E+00,-1.06653306E+00
-49.85000E-03,+1.94472322E+00,-1.46854311E+00
-49.80000E-03,+1.94472322E+00,-1.46854311E+00
-49.75000E-03,+1.94472322E+00,-1.46854311E+00
-49.70000E-03,+1.94472322E+00,-664.52301E-03
-49.65000E-03,+1.94472322E+00,-1.46854311E+00
-49.60000E-03,+1.94472322E+00,-664.52301E-03
-49.55000E-03,+1.94472322E+00,-865.52803E-03
-49.50000E-03,+1.94472322E+00,-1.46854311E+00
-49.45000E-03,+1.94472322E+00,-2.07155819E+00
-49.40000E-03,+1.94472322E+00,-664.52301E-03
-49.35000E-03,+1.94472322E+00,-865.52803E-03
-49.30000E-03,+1.94472322E+00,-1.46854311E+00
-49.25000E-03,+1.94472322E+00,-61.50793E-03
-49.20000E-03,+1.94472322E+00,-1.46854311E+00
-49.15000E-03,+1.94472322E+00,-1.46854311E+00
-49.10000E-03,+1.94472322E+00,-664.52301E-03
-49.05000E-03,+1.94472322E+00,-1.06653306E+00
-49.00000E-03,+1.94472322E+00,-1.46854311E+00
-48.95000E-03,+1.94472322E+00,-1.46854311E+00
-48.90000E-03,+1.94472322E+00,-1.06653306E+00
-48.85000E-03,+1.94472322E+00,-2.07155819E+00
-48.80000E-03,+1.94472322E+00,-664.52301E-03
-48.75000E-03,+1.94472322E+00,-865.52803E-03
-48.70000E-03,+1.94472322E+00,-1.06653306E+00
-48.65000E-03,+1.94472322E+00,-1.87055317E+00
-48.60000E-03,+1.94472322E+00,-664.52301E-03
-48.55000E-03,+1.94472322E+00,-865.52803E-03
-48.50000E-03,+1.94472322E+00,-1.46854311E+00
-48.45000E-03,+1.94472322E+00,-2.07155819E+00
-48.40000E-03,+1.94472322E+00,-664.52301E-03
-48.35000E-03,+1.94472322E+00,-1.46854311E+00
-48.30000E-03,+1.94472322E+00,-1.06653306E+00
-48.25000E-03,+1.94472322E+00,-1.46854311E+00
-48.20000E-03,+1.94472322E+00,-1.46854311E+00
-48.15000E-03,+1.94472322E+00,-1.66954814E+00
-48.10000E-03,+1.94472322E+00,-1.46854311E+00
-48.05000E-03,+1.94472322E+00,-865.52803E-03
-48.00000E-03,+1.94472322E+00,-664.52301E-03
-47.95000E-03,+2.74874333E+00,+139.49710E-03
-47.90000E-03,+4.35678354E+00,+1.34552726E+00
-47.85000E-03,+5.16080365E+00,+1.74753731E+00
-47.80000E-03,+4.75879359E+00,-3.88060343E+00
-47.75000E-03,+4.35678354E+00,-2.27256322E+00
-47.70000E-03,+3.95477349E+00,-2.27256322E+00
-47.65000E-03,+4.35678354E+00,-2.07155819E+00
-47.60000E-03,+5.16080365E+00,+1.74753731E+00
-47.55000E-03,+6.66834135E+00,+1.54653229E+00
-47.50000E-03,+8.57788910E+00,+2.55155742E+00
-47.45000E-03,+12.29648209E+00,+4.15959764E+00
-47.40000E-03,+17.62311530E+00,+8.98371828E+00
-47.35000E-03,+21.84422086E+00,+13.80783892E+00
-47.30000E-03,+25.66331637E+00,+16.62190929E+00
-47.25000E-03,+27.67336664E+00,+17.02391934E+00
-47.20000E-03,+28.47738674E+00,+15.41587913E+00
-47.15000E-03,+28.97989931E+00,+14.61185902E+00
-47.10000E-03,+30.28643198E+00,+14.61185902E+00
-47.05000E-03,+32.49748728E+00,+15.41587913E+00
-47.00000E-03,+34.90954760E+00,+18.63195956E+00
-46.95000E-03,+38.52763808E+00,+21.84803998E+00
-46.90000E-03,+41.54271348E+00,+25.46613047E+00
-46.85000E-03,+44.05527631E+00,+25.86814052E+00
-46.80000E-03,+45.76381904E+00,+24.26010031E+00
-46.75000E-03,+47.77386931E+00,+22.65206009E+00
-46.70000E-03,+48.77889444E+00,+21.04401988E+00
-46.65000E-03,+49.78391957E+00,+20.23999977E+00
-46.60000E-03,+50.98994973E+00,+21.04401988E+00
-46.55000E-03,+52.19597989E+00,+21.84803998E+00
-46.50000E-03,+53.60301508E+00,+23.85809025E+00
-46.45000E-03,+55.01005027E+00,+26.87316565E+00
-46.40000E-03,+56.21608043E+00,+29.08422095E+00
-46.35000E-03,+57.52261310E+00,+31.09427121E+00
-46.30000E-03,+58.82914577E+00,+33.10432148E+00
-46.25000E-03,+59.83417091E+00,+34.71236169E+00
-46.20000E-03,+61.04020107E+00,+33.90834159E+00
-46.15000E-03,+62.84924631E+00,+34.10934661E+00
-46.10000E-03,+64.25628150E+00,+32.70231143E+00
-46.05000E-03,+65.96482422E+00,+31.49628127E+00
-46.00000E-03,+67.87437198E+00,+30.69226116E+00
-45.95000E-03,+69.88442224E+00,+30.49125613E+00
-45.90000E-03,+71.49246246E+00,+31.09427121E+00
-45.85000E-03,+73.00000016E+00,+32.09929635E+00
-45.80000E-03,+74.70854288E+00,+33.90834159E+00
-45.75000E-03,+76.61809064E+00,+35.11437175E+00
-45.70000E-03,+78.32663336E+00,+37.92844212E+00
-45.65000E-03,+79.93467358E+00,+40.34050244E+00
-45.60000E-03,+81.54271379E+00,+41.14452255E+00
-45.55000E-03,+82.44723641E+00,+42.95356779E+00
-45.50000E-03,+83.55276406E+00,+43.55658287E+00
-45.45000E-03,+84.65829170E+00,+43.75758789E+00
-45.40000E-03,+85.16080427E+00,+43.55658287E+00
-45.35000E-03,+85.56281433E+00,+44.15959795E+00
-45.30000E-03,+86.16582941E+00,+43.95859292E+00
-45.25000E-03,+86.76884449E+00,+43.35557784E+00
-45.20000E-03,+87.57286459E+00,+43.55658287E+00
-45.15000E-03,+88.37688470E+00,+44.15959795E+00
-45.10000E-03,+88.37688470E+00,+44.36060297E+00
-45.05000E-03,+88.77889475E+00,+44.96361806E+00
-45.00000E-03,+89.18090481E+00,+45.16462308E+00
-44.95000E-03,+88.87939727E+00,+44.56160800E+00
-44.90000E-03,+89.18090481E+00,+44.76261303E+00
-44.85000E-03,+88.87939727E+00,+44.36060297E+00
-44.80000E-03,+89.58291486E+00,+45.16462308E+00
-44.75000E-03,+89.58291486E+00,+45.76763816E+00
-44.70000E-03,+89.38190983E+00,+45.96864319E+00
-44.65000E-03,+89.28140732E+00,+45.96864319E+00
-44.60000E-03,+89.58291486E+00,+46.77266330E+00
-44.55000E-03,+89.98492491E+00,+47.57668340E+00
-44.50000E-03,+90.38693497E+00,+47.17467335E+00
-44.45000E-03,+89.98492491E+00,+47.77768843E+00
-44.40000E-03,+89.98492491E+00,+48.38070351E+00
-44.35000E-03,+90.68844251E+00,+47.77768843E+00
-44.30000E-03,+90.58793999E+00,+48.38070351E+00
-44.25000E-03,+90.38693497E+00,+48.58170854E+00
-44.20000E-03,+90.78894502E+00,+49.18472362E+00
-44.15000E-03,+90.78894502E+00,+48.58170854E+00
-44.10000E-03,+90.58793999E+00,+48.78271356E+00
-44.05000E-03,+90.58793999E+00,+49.18472362E+00
-44.00000E-03,+90.78894502E+00,+49.98874372E+00
-43.95000E-03,+91.09045256E+00,+50.59175880E+00
-43.90000E-03,+90.78894502E+00,+50.39075378E+00
-43.85000E-03,+91.09045256E+00,+50.79276383E+00
-43.80000E-03,+90.78894502E+00,+50.79276383E+00
-43.75000E-03,+91.19095507E+00,+51.39577891E+00
-43.70000E-03,+91.19095507E+00,+50.39075378E+00
-43.65000E-03,+91.09045256E+00,+51.39577891E+00
-43.60000E-03,+91.59296513E+00,+51.59678394E+00
-43.55000E-03,+91.19095507E+00,+51.59678394E+00
-43.50000E-03,+91.39196010E+00,+51.59678394E+00
-43.45000E-03,+90.98995005E+00,+51.39577891E+00
-43.40000E-03,+91.19095507E+00,+51.59678394E+00
-43.35000E-03,+91.19095507E+00,+51.59678394E+00
-43.30000E-03,+91.39196010E+00,+51.99879399E+00
-43.25000E-03,+91.49246261E+00,+51.79778896E+00
-43.20000E-03,+90.38693497E+00,-57.74995059E+00
-43.15000E-03,+90.28643245E+00,-81.87055379E+00
-43.10000E-03,+89.98492491E+00,-81.87055379E+00
-43.05000E-03,+89.98492491E+00,-81.87055379E+00
-43.00000E-03,+89.98492491E+00,-81.87055379E+00
-42.95000E-03,+89.78391989E+00,-81.87055379E+00
-42.90000E-03,+89.58291486E+00,-81.87055379E+00
-42.85000E-03,+89.98492491E+00,-81.87055379E+00
-42.80000E-03,+89.58291486E+00,-76.24241304E+00
-42.75000E-03,+89.88442240E+00,-68.00120695E+00
-42.70000E-03,+89.78391989E+00,-60.56402096E+00
-42.65000E-03,+89.48241235E+00,-53.52884503E+00
-42.60000E-03,+89.18090481E+00,-46.49366909E+00
-42.55000E-03,+89.18090481E+00,-41.46854343E+00
-42.50000E-03,+88.77889475E+00,-36.44341776E+00
-42.45000E-03,+88.77889475E+00,-32.42331722E+00
-42.40000E-03,+88.37688470E+00,-28.00120664E+00
-42.35000E-03,+88.27638219E+00,-24.78512621E+00
-42.30000E-03,+87.97487465E+00,-21.56904578E+00
-42.25000E-03,+87.57286459E+00,-19.15698546E+00
-42.20000E-03,+87.57286459E+00,-15.94090503E+00
-42.15000E-03,+87.27135705E+00,-14.93587990E+00
-42.10000E-03,+87.17085454E+00,-13.12683466E+00
-42.05000E-03,+86.36683443E+00,-11.11678439E+00
-42.00000E-03,+86.76884449E+00,-9.50874418E+00
-41.95000E-03,+86.36683443E+00,-9.30773915E+00
-41.90000E-03,+84.95979925E+00,-7.90070397E+00
-41.85000E-03,+79.73366855E+00,-6.89567883E+00
-41.80000E-03,+74.30653283E+00,-6.29266375E+00
-41.75000E-03,+69.48241219E+00,-4.08160846E+00
-41.70000E-03,+66.46733679E+00,-5.08663359E+00
-41.65000E-03,+65.06030160E+00,-3.88060343E+00
-41.60000E-03,+63.85427144E+00,-4.68462354E+00
-41.55000E-03,+62.64824128E+00,-3.88060343E+00
-41.50000E-03,+60.83919604E+00,-3.47859338E+00
-41.45000E-03,+58.22613069E+00,-3.27758835E+00
-41.40000E-03,+55.01005027E+00,-2.27256322E+00
-41.35000E-03,+51.79396984E+00,-3.88060343E+00
-41.30000E-03,+49.38190952E+00,-2.27256322E+00
-41.25000E-03,+47.37185925E+00,-2.27256322E+00
-41.20000E-03,+45.76381904E+00,-3.07658333E+00
-41.15000E-03,+44.95979893E+00,-1.66954814E+00
-41.10000E-03,+43.75376877E+00,-1.87055317E+00
-41.05000E-03,+42.54773861E+00,-1.46854311E+00
-41.00000E-03,+40.93969840E+00,-2.27256322E+00
-40.95000E-03,+39.93467326E+00,-1.66954814E+00
-40.90000E-03,+38.12562802E+00,-1.87055317E+00
-40.85000E-03,+36.91959786E+00,-1.66954814E+00
-40.80000E-03,+35.71356770E+00,-2.27256322E+00
-40.75000E-03,+34.50753754E+00,-1.66954814E+00
-40.70000E-03,+32.89949733E+00,-1.87055317E+00
-40.65000E-03,+31.69346717E+00,-1.66954814E+00
-40.60000E-03,+30.08542696E+00,-2.27256322E+00
-40.55000E-03,+28.07537669E+00,-1.46854311E+00
-40.50000E-03,+26.46733648E+00,-1.87055317E+00
-40.45000E-03,+24.45728621E+00,-1.46854311E+00
-40.40000E-03,+22.44723594E+00,-1.46854311E+00
-40.35000E-03,+20.93969824E+00,-1.46854311E+00
-40.30000E-03,+19.03015049E+00,-1.87055317E+00
-40.25000E-03,+17.32160776E+00,-1.66954814E+00
-40.20000E-03,+15.21105498E+00,-2.27256322E+00
-40.15000E-03,+13.60301477E+00,-2.07155819E+00
-40.10000E-03,+11.59296450E+00,-1.46854311E+00
-40.05000E-03,+9.58291423E+00,-1.46854311E+00
-40.00000E-03,+7.97487402E+00,-1.46854311E+00
-39.95000E-03,+5.96482375E+00,-1.06653306E+00
-39.90000E-03,+4.35678354E+00,-664.52301E-03
-39.85000E-03,+3.05025087E+00,-1.46854311E+00
-39.80000E-03,+1.94472322E+00,-1.46854311E+00
-39.75000E-03,+1.94472322E+00,-664.52301E-03
-39.70000E-03,+1.94472322E+00,-1.46854311E+00
-39.65000E-03,+1.94472322E+00,-865.52803E-03
-39.60000E-03,+1.94472322E+00,-1.46854311E+00
-39.55000E-03,+1.94472322E+00,-664.52301E-03
-39.50000E-03,+1.94472322E+00,-1.06653306E+00
-39.45000E-03,+1.94472322E+00,-1.46854311E+00
-39.40000E-03,+1.94472322E+00,-1.46854311E+00
-39.35000E-03,+1.94472322E+00,-1.66954814E+00
-39.30000E-03,+1.94472322E+00,-664.52301E-03
-39.25000E-03,+1.94472322E+00,-1.46854311E+00
-39.20000E-03,+1.94472322E+00,-664.52301E-03
-39.15000E-03,+1.94472322E+00,-1.06653306E+00
-39.10000E-03,+1.94472322E+00,-664.52301E-03
-39.05000E-03,+1.94472322E+00,-664.52301E-03
-39.00000E-03,+1.94472322E+00,-1.46854311E+00
-38.95000E-03,+1.94472322E+00,-664.52301E-03
-38.90000E-03,+1.94472322E+00,-664.52301E-03
-38.85000E-03,+1.94472322E+00,-1.26753809E+00
-38.80000E-03,+1.94472322E+00,-1.46854311E+00
-38.75000E-03,+1.94472322E+00,-1.26753809E+00
-38.70000E-03,+1.94472322E+00,-664.52301E-03
-38.65000E-03,+1.94472322E+00,-61.50793E-03
-38.60000E-03,+1.94472322E+00,-664.52301E-03
-38.55000E-03,+1.94472322E+00,-865.52803E-03
-38.50000E-03,+1.94472322E+00,-1.46854311E+00
-38.45000E-03,+1.94472322E+00,-1.46854311E+00
-38.40000E-03,+1.94472322E+00,-664.52301E-03
-38.35000E-03,+1.94472322E+00,-1.26753809E+00
-38.30000E-03,+1.94472322E+00,-1.06653306E+00
-38.25000E-03,+1.94472322E+00,-1.26753809E+00
-38.20000E-03,+1.94472322E+00,-664.52301E-03
-38.15000E-03,+1.94472322E+00,-1.46854311E+00
-38.10000E-03,+1.94472322E+00,-1.46854311E+00
-38.05000E-03,+1.94472322E+00,-2.07155819E+00
-38.00000E-03,+1.94472322E+00,-1.46854311E+00
-37.95000E-03,+1.94472322E+00,-1.46854311E+00
-37.90000E-03,+1.94472322E+00,-1.46854311E+00
-37.85000E-03,+1.94472322E+00,-1.26753809E+00
-37.80000E-03,+1.94472322E+00,-1.46854311E+00
-37.75000E-03,+1.94472322E+00,-664.52301E-03
-37.70000E-03,+1.94472322E+00,-1.06653306E+00
-37.65000E-03,+1.94472322E+00,-1.46854311E+00
-37.60000E-03,+1.94472322E+00,-1.46854311E+00
-37.55000E-03,+1.94472322E+00,-865.52803E-03
-37.50000E-03,+1.94472322E+00,-1.06653306E+00
-37.45000E-03,+1.94472322E+00,-664.52301E-03
-37.40000E-03,+1.94472322E+00,-1.46854311E+00
-37.35000E-03,+1.94472322E+00,-1.26753809E+00
-37.30000E-03,+1.94472322E+00,-1.46854311E+00
-37.25000E-03,+1.94472322E+00,-2.07155819E+00
-37.20000E-03,+1.94472322E+00,-1.46854311E+00
-37.15000E-03,+1.94472322E+00,-1.46854311E+00
-37.10000E-03,+1.94472322E+00,-1.46854311E+00
-37.05000E-03,+1.94472322E+00,-2.07155819E+00
-37.00000E-03,+1.94472322E+00,-1.46854311E+00
-36.95000E-03,+1.94472322E+00,-1.46854311E+00
-36.90000E-03,+1.94472322E+00,-664.52301E-03
-36.85000E-03,+1.94472322E+00,-1.66954814E+00
-36.80000E-03,+1.94472322E+00,-664.52301E-03
-36.75000E-03,+1.94472322E+00,-1.46854311E+00
-36.70000E-03,+1.94472322E+00,-664.52301E-03
-36.65000E-03,+1.94472322E+00,-1.46854311E+00
-36.60000E-03,+1.94472322E+00,-2.27256322E+00
-36.55000E-03,+1.94472322E+00,-1.46854311E+00
-36.50000E-03,+1.94472322E+00,-1.06653306E+00
-36.45000E-03,+1.94472322E+00,-1.26753809E+00
-36.40000E-03,+1.94472322E+00,-2.27256322E+00
-36.35000E-03,+1.94472322E+00,-1.26753809E+00
-36.30000E-03,+1.94472322E+00,-1.46854311E+00
-36.25000E-03,+1.94472322E+00,-1.46854311E+00
-36.20000E-03,+1.94472322E+00,-1.46854311E+00
-36.15000E-03,+1.94472322E+00,-1.46854311E+00
-36.10000E-03,+1.94472322E+00,-1.06653306E+00
-36.05000E-03,+1.94472322E+00,-1.46854311E+00
-36.00000E-03,+1.94472322E+00,-1.46854311E+00
-35.95000E-03,+1.94472322E+00,-1.46854311E+00
-35.90000E-03,+1.94472322E+00,-1.06653306E+00
-35.85000E-03,+1.94472322E+00,-1.46854311E+00
-35.80000E-03,+1.94472322E+00,-1.46854311E+00
-35.75000E-03,+1.94472322E+00,-865.52803E-03
-35.70000E-03,+1.94472322E+00,-1.06653306E+00
-35.65000E-03,+1.94472322E+00,-865.52803E-03
-35.60000E-03,+1.94472322E+00,-1.46854311E+00
-35.55000E-03,+1.94472322E+00,-865.52803E-03
-35.50000E-03,+1.94472322E+00,-1.06653306E+00
-35.45000E-03,+1.94472322E+00,-1.46854311E+00
-35.40000E-03,+1.94472322E+00,-2.27256322E+00
-35.35000E-03,+1.94472322E+00,-865.52803E-03
-35.30000E-03,+1.94472322E+00,-1.46854311E+00
-35.25000E-03,+1.94472322E+00,-1.46854311E+00
-35.20000E-03,+1.94472322E+00,-664.52301E-03
-35.15000E-03,+1.94472322E+00,-1.46854311E+00
-35.10000E-03,+1.94472322E+00,-664.52301E-03
-35.05000E-03,+1.94472322E+00,-1.46854311E+00
-35.00000E-03,+1.94472322E+00,-1.46854311E+00
-34.95000E-03,+1.94472322E+00,-1.26753809E+00
-34.90000E-03,+1.94472322E+00,-1.87055317E+00
-34.85000E-03,+1.94472322E+00,-1.26753809E+00
-34.80000E-03,+1.94472322E+00,-664.52301E-03
-34.75000E-03,+1.94472322E+00,-1.46854311E+00
-34.70000E-03,+1.94472322E+00,-1.06653306E+00
-34.65000E-03,+1.94472322E+00,-1.46854311E+00
-34.60000E-03,+1.94472322E+00,-1.46854311E+00
-34.55000E-03,+1.94472322E+00,-1.26753809E+00
-34.50000E-03,+1.94472322E+00,-1.46854311E+00
-34.45000E-03,+1.94472322E+00,-1.66954814E+00
-34.40000E-03,+1.94472322E+00,-1.46854311E+00
-34.35000E-03,+1.94472322E+00,-865.52803E-03
-34.30000E-03,+1.94472322E+00,-1.46854311E+00
-34.25000E-03,+1.94472322E+00,-1.46854311E+00
-34.20000E-03,+1.94472322E+00,-1.46854311E+00
-34.15000E-03,+1.94472322E+00,-1.66954814E+00
-34.10000E-03,+1.94472322E+00,-2.27256322E+00
-34.05000E-03,+1.94472322E+00,-1.87055317E+00
-34.00000E-03,+1.94472322E+00,-664.52301E-03
-33.95000E-03,+1.94472322E+00,-1.46854311E+00
-33.90000E-03,+1.94472322E+00,-1.46854311E+00
-33.85000E-03,+1.94472322E+00,-865.52803E-03
-33.80000E-03,+1.94472322E+00,-664.52301E-03
-33.75000E-03,+1.94472322E+00,-865.52803E-03
-33.70000E-03,+1.94472322E+00,-1.46854311E+00
-33.65000E-03,+1.94472322E+00,-1.66954814E+00
-33.60000E-03,+1.94472322E+00,-1.46854311E+00
-33.55000E-03,+1.94472322E+00,-1.46854311E+00
-33.50000E-03,+1.94472322E+00,-1.46854311E+00
-33.45000E-03,+1.94472322E+00,-1.26753809E+00
-33.40000E-03,+1.94472322E+00,-1.46854311E+00
-33.35000E-03,+1.94472322E+00,-1.26753809E+00
-33.30000E-03,+1.94472322E+00,-1.46854311E+00
-33.25000E-03,+1.94472322E+00,-1.46854311E+00
-33.20000E-03,+1.94472322E+00,-664.52301E-03
-33.15000E-03,+1.94472322E+00,-1.26753809E+00
-33.10000E-03,+1.94472322E+00,-1.87055317E+00
-33.05000E-03,+1.94472322E+00,-664.52301E-03
