f (Hz)	df (Hz)	Vin (mV)	dVin (mV)	Vout (mV)	dVout (mV)	phase (degrees)	dphase (degrees)	gain	dgain
699.9	0.1	199.5	0.1	127.1	0.1	-49.2	0.5	0.637092732	0.000594336
680	0.1	199.4	0.5	124.5	0.1	-49.9	0.1	0.624373119	0.00164399
660	0.1	199.5	0.1	122.5	0.1	-50.9	0.1	0.614035088	0.000588207
640	0.1	199.5	0.1	120.2	0.1	-51.8	0.1	0.602506266	0.000585204
620	0.1	199.5	0.1	118	0.1	-52.7	0.1	0.591478697	0.000582371
600	0.1	199.5	0.1	115.5	0.1	-53.4	0.1	0.578947368	0.000579198
580	0.1	199.6	0.1	113	0.1	-54.3	0.1	0.566132265	0.000575718
560	0.1	199.6	0.1	110.4	0.1	-55.3	0.1	0.553106212	0.000572531
540	0.1	199.8	0.1	107.8	0.1	-55.7	0.1	0.53953954	0.000568702
520	0.1	199.9	0.1	105	0.1	-56.6	0.1	0.525262631	0.000565061
500	0.1	199.8	0.1	102.1	0.1	-58	0.1	0.511011011	0.000562063
400	0.1	200	0.1	86.3	0.1	-63.4	0.1	0.4315	0.000544562
300	0.1	200.4	0.1	67.9	0.1	-69	0.1	0.338822355	0.000526867
200	0.1	200.6	0.1	47	0.1	-75.5	0.1	0.234297109	0.000512004
100	0.1	200.6	0.1	24.1	0.1	-82	0.1	0.120139581	0.000502089
50	0.1	198.5	0.5	11.9	0.1	-85.4	0.1	0.059949622	0.000525924
10	0.1	200.8	0.1	2.5	0.1	-87	0.1	0.012450199	0.000498047
720	0.1	199.1	0.1	128.8	0.1	-48.4	0.1	0.6469111	0.000598195
740	0.1	199.1	0.1	130.7	0.1	-47.7	0.1	0.656454043	0.000600811
760	0.1	199.1	0.1	132.5	0.1	-46.9	0.1	0.665494726	0.000603315
780	0.1	199.1	0.1	134.3	0.1	-46.2	0.1	0.674535409	0.000605843
800	0.1	199.1	0.1	136	0.1	-45.5	0.1	0.683073832	0.000608251
820	0.1	199	0.1	137.7	0.1	-44.9	0.1	0.691959799	0.000611087
840	0.1	199	0.1	139.3	0.1	-44.1	0.1	0.7	0.000613395
860	0.1	198.9	0.1	140.8	0.1	-43.5	0.1	0.707893414	0.000615988
880	0.1	198.9	0.1	142.2	0.1	-42.9	0.1	0.714932127	0.000618039
900	0.1	198.9	0.1	143.7	0.1	-42.1	0.1	0.722473605	0.000620252
920	0.1	198.9	0.1	145.1	0.1	-41.4	0.1	0.729512318	0.000622331
940	0.1	198.9	0.1	146.4	0.1	-40.9	0.1	0.736048265	0.000624273
960	0.1	198.9	0.1	147.7	0.1	-40.3	0.1	0.742584213	0.000626227
980	0.1	198.6	0.1	148.9	0.1	-39.8	0.1	0.749748238	0.00062933
1000	0.1	198.6	0.1	150.2	0.1	-39.1	0.1	0.756294058	0.000631312
1100	0.1	198.5	0.1	155.6	0.1	-36.7	0.1	0.783879093	0.000640109
1200	0.1	198.5	0.1	160.2	0.1	-34.4	0.1	0.807052897	0.000647377
1300	0.1	198.2	0.1	164.2	0.1	-32.3	0.1	0.828456105	0.000655192
1400	0.1	198.2	0.1	167.2	0.1	-31	0.1	0.843592331	0.000660091
1500	0.1	198.1	0.1	170.1	0.1	-29.4	0.1	0.858657244	0.000665353
2000	0.1	197.5	0.1	179.4	0.1	-22.6	0.1	0.90835443	0.000684033
2500	0.1	197.1	0.1	184.3	0.1	-18.4	0.1	0.935058346	0.000694603
3000	0.1	197.1	0.1	187.2	0.1	-15.5	0.1	0.949771689	0.000699723
3500	0.1	197	0.1	188.9	0.1	-13.2	0.1	0.958883249	0.000703271
4000	0.1	196.9	0.1	190.1	0.1	-11.8	0.1	0.965464703	0.000705946
5000	0.1	196.7	0.1	191.4	0.1	-9.4	0.1	0.973055414	0.00070935
6000	0.1	196.7	0.1	192.2	0.1	-7.9	0.1	0.977122522	0.000710793
7000	0.1	196.7	0.1	192.8	0.1	-6.9	0.1	0.980172852	0.000711878
8000	0.1	196.6	0.1	193.1	0.1	-6.2	0.1	0.982197355	0.000712961
9000	0.1	196.6	0.1	193.3	0.1	-5.7	0.1	0.983214649	0.000713324
10000	0.1	196.6	0.1	193.4	0.1	-5.2	0.1	0.983723296	0.000713505
15000	0.1	196.6	0.1	193.7	0.1	-3.1	0.1	0.985249237	0.00071405
20000	0.1	196.6	0.1	193.9	0.1	-2.3	0.1	0.986266531	0.000714413
25000	0.1	196.6	0.1	193.9	0.1	-1.7	0.1	0.986266531	0.000714413
30000	0.1	196.6	0.1	194.1	0.1	-1.4	0.1	0.987283825	0.000714777
15	0.1	200.5	0.1	3.7	0.1	-88.1	0.1	0.018453865	0.000498838
25	0.1	200.6	0.1	6.2	0.1	-87	0.1	0.030907278	0.000498743
35	0.1	200.6	0.1	8.5	0.1	-87	0.1	0.042372881	0.000498952
75	0.1	200.6	0.1	18.3	0.1	-83	0.1	0.091226321	0.000500575
150	0.1	200.5	0.1	36.1	0.1	-79	0.1	0.180049875	0.000506773
250	0.1	200.5	0.1	58	0.1	-72	0.1	0.289276808	0.000519202
350	0.1	200.1	0.1	77.5	0.1	-65.9	0.1	0.387306347	0.000535924
450	0.1	199.9	0.1	94.7	0.1	-60.4	0.1	0.473736868	0.000553546

