f (Hz)	df (Hz)	Vin (mV)	dVin (mV)	Vout (mV)	dVout (mV)	phase (degrees)	dphase (degrees)	gain	dgain 
35232.1	1	187.4	0.1	1086	1	83	0.1	5.795090715	0.006167457
35000	1	187.7	0.1	1082	1	78	0.1	5.764517848	0.006149449
35100	1	187.5	0.1	1084	5	80	0.1	5.781333333	0.026844335
34900	1	187.7	0.1	1079	1	77	0.1	5.748534896	0.006145201
34800	1	187.9	0.1	1075	1	75	0.1	5.72112826	0.006131404
34700	1	188	0.1	1069	1	73	0.1	5.686170213	0.00611893
34600	1	188.1	0.1	1063	1	72	0.1	5.651249335	0.006106521
34500	1	188.4	0.1	1055	1	70	0.1	5.599787686	0.006083405
34400	1	188.5	0.1	1049	1	69	0.1	5.564986737	0.006071179
34300	1	188.8	0.1	1040	1	66	0.1	5.508474576	0.006047033
34200	1	189.1	0.1	1031	1	64	0.1	5.452141724	0.006023123
34100	1	189.4	0.1	1023	1	63	0.1	5.401267159	0.006000771
34000	1	189.7	0.1	1012	1	61	0.1	5.334739062	0.005974694
33500	1	191.1	0.1	957	1	54	0.1	5.007849294	0.005852356
33000	1	192.5	0.1	897	1	48	0.1	4.65974026	0.005731101
32500	1	193.7	0.1	837	1	42	0.1	4.321115126	0.00562399
32000	1	194.7	0.1	781	1	38	0.1	4.011299435	0.005533914
31500	1	195.7	0.1	729	1	34	0.1	3.725089423	0.005452879
31000	1	196.5	0.1	683	1	31	0.1	3.475826972	0.005387709
30500	1	197	0.1	640	1	28	0.1	3.248730964	0.005337299
30000	1	197.3	0.1	601	1	26	0.1	3.046122656	0.005298354
29500	1	197.6	0.1	567	1	24	0.1	2.869433198	0.005264949
29000	1	197.8	0.1	537	1	22	0.1	2.714863498	0.005238611
28500	1	198.2	0.1	509	1	20.3	0.1	2.568113017	0.00520913
28000	1	198.5	0.1	485	1	19	0.1	2.443324937	0.005185977
27000	1	199	0.1	444	1	16.2	0.1	2.231155779	0.005148683
26000	1	199.4	0.1	408	1	14.7	0.1	2.046138415	0.005118951
25000	1	199.6	0.1	378	1	13	0.1	1.893787575	0.005099069
24000	1	199.6	0.1	355	1	11.6	0.1	1.778557114	0.005088643
23000	1	199.7	0.1	333	1	10.1	0.1	1.667501252	0.005076652
22000	1	199.8	0.1	316	1	9.4	0.1	1.581581582	0.005067216
21000	1	199.8	0.1	301	1	8.5	0.1	1.506506507	0.005061482
20000	1	199.9	0.1	288	1	7.6	0.1	1.44072036	0.005054152
