second,Volt1,Volt2
-16.5000E-06,-16.4435928E-03,-16.8905692E-03
-16.2700E-06,-16.4435928E-03,-16.8905692E-03
-16.0400E-06,-16.4435928E-03,-16.8905692E-03
-15.8100E-06,-16.4435928E-03,-16.8905692E-03
-15.5800E-06,-16.4435928E-03,-16.8905692E-03
-15.3500E-06,-16.4435928E-03,-16.8905692E-03
-15.1200E-06,-16.4435928E-03,-16.8905692E-03
-14.8900E-06,-16.4435928E-03,-16.8905692E-03
-14.6600E-06,-16.4435928E-03,-16.8905692E-03
-14.4300E-06,-16.4435928E-03,-16.8905692E-03
-14.2000E-06,-16.4435928E-03,-16.8905692E-03
-13.9700E-06,-16.4435928E-03,-16.8905692E-03
-13.7400E-06,-16.4435928E-03,-16.8905692E-03
-13.5100E-06,-16.4435928E-03,-16.8905692E-03
-13.2800E-06,-16.4435928E-03,-16.8905692E-03
-13.0500E-06,-16.4435928E-03,-16.8905692E-03
-12.8200E-06,-16.4435928E-03,-16.8905692E-03
-12.5900E-06,-16.4435928E-03,-16.8905692E-03
-12.3600E-06,-16.4435928E-03,-16.8905692E-03
-12.1300E-06,-16.4435928E-03,-16.8905692E-03
-11.9000E-06,-16.4435928E-03,-16.8905692E-03
-11.6700E-06,-16.4435928E-03,-16.8905692E-03
-11.4400E-06,-16.4435928E-03,-16.8905692E-03
-11.2100E-06,-16.4435928E-03,-16.8905692E-03
-10.9800E-06,-16.4435928E-03,-16.8905692E-03
-10.7500E-06,-16.4435928E-03,-16.8905692E-03
-10.5200E-06,-16.4435928E-03,-16.8905692E-03
-10.2900E-06,-16.4435928E-03,-16.8905692E-03
-10.0600E-06,-16.4435928E-03,-16.8905692E-03
-9.8300E-06,-16.4435928E-03,-16.8905692E-03
-9.6000E-06,-16.4435928E-03,-16.8905692E-03
-9.3700E-06,-16.4435928E-03,-16.8905692E-03
-9.1400E-06,-16.4435928E-03,-16.8905692E-03
-8.9100E-06,-16.4435928E-03,-16.8905692E-03
-8.6800E-06,-16.4435928E-03,-16.8905692E-03
-8.4500E-06,-16.4435928E-03,-16.8905692E-03
-8.2200E-06,-16.4435928E-03,-16.8905692E-03
-7.9900E-06,-16.4435928E-03,-16.8905692E-03
-7.7600E-06,-16.4435928E-03,-16.8905692E-03
-7.5300E-06,-16.4435928E-03,-16.8905692E-03
-7.3000E-06,-16.4435928E-03,-16.8905692E-03
-7.0700E-06,-16.4435928E-03,-16.8905692E-03
-6.8400E-06,-16.4435928E-03,-16.8905692E-03
-6.6100E-06,-16.4435928E-03,-16.8905692E-03
-6.3800E-06,-16.4435928E-03,-16.8905692E-03
-6.1500E-06,-16.4435928E-03,-16.8905692E-03
-5.9200E-06,-16.4435928E-03,-16.8905692E-03
-5.6900E-06,-16.4435928E-03,-16.8905692E-03
-5.4600E-06,-16.4435928E-03,-16.8905692E-03
-5.2300E-06,-16.4435928E-03,-16.8905692E-03
-5.0000E-06,-16.4435928E-03,-16.8905692E-03
-4.7700E-06,-16.4435928E-03,-16.8905692E-03
-4.5400E-06,-16.4435928E-03,-16.8905692E-03
-4.3100E-06,-16.4435928E-03,-16.8905692E-03
-4.0800E-06,-16.4435928E-03,-16.8905692E-03
-3.8500E-06,-16.4435928E-03,-16.8905692E-03
-3.6200E-06,-16.4435928E-03,-16.8905692E-03
-3.3900E-06,-16.4435928E-03,-16.8905692E-03
-3.1600E-06,-16.4435928E-03,-16.8905692E-03
-2.9300E-06,-16.4435928E-03,-16.8905692E-03
-2.7000E-06,-16.4435928E-03,-16.8905692E-03
-2.4700E-06,-16.4435928E-03,-16.8905692E-03
-2.2400E-06,-16.4435928E-03,-16.8905692E-03
-2.0100E-06,-16.4435928E-03,-16.8905692E-03
-1.7800E-06,-16.4435928E-03,-16.8905692E-03
-1.5500E-06,-16.4435928E-03,-16.8905692E-03
-1.3200E-06,+34.7322861E-03,-16.2875542E-03
-1.0900E-06,+182.3403247E-03,-14.6292627E-03
-860.0E-09,+182.3403247E-03,-13.8754939E-03
-630.0E-09,+182.3403247E-03,-12.5187100E-03
-400.0E-09,+182.3403247E-03,-10.8604186E-03
-170.0E-09,+182.2448473E-03,-8.7498658E-03
+60.0E-09,+182.2448473E-03,-5.8855442E-03
+290.0E-09,+182.1493699E-03,-2.8704689E-03
+520.0E-09,+182.0538925E-03,+898.3753E-06
+750.0E-09,+182.0538925E-03,+5.1194808E-03
+980.0E-09,+181.9584151E-03,+9.6420938E-03
+1.2100E-06,+181.8629378E-03,+14.6169681E-03
+1.4400E-06,+181.7674604E-03,+19.7425962E-03
+1.6700E-06,+181.6719830E-03,+25.7727469E-03
+1.9000E-06,+181.5765056E-03,+31.9536513E-03
+2.1300E-06,+181.5765056E-03,+38.4360633E-03
+2.3600E-06,+181.4810282E-03,+45.2199829E-03
+2.5900E-06,+181.4810282E-03,+52.0039024E-03
+2.8200E-06,+181.3855508E-03,+59.3908370E-03
+3.0500E-06,+181.2900734E-03,+67.2300329E-03
+3.2800E-06,+181.2900734E-03,+74.9184750E-03
+3.5100E-06,+181.2900734E-03,+83.0591784E-03
+3.7400E-06,+181.2900734E-03,+91.3506356E-03
+3.9700E-06,+181.1945961E-03,+99.6420928E-03
+4.2000E-06,+181.1945961E-03,+108.5365651E-03
+4.4300E-06,+181.1945961E-03,+117.1295298E-03
+4.6600E-06,+181.1945961E-03,+126.0240021E-03
+4.8900E-06,+181.1945961E-03,+134.7677206E-03
+5.1200E-06,+181.1945961E-03,+143.8129466E-03
+5.3500E-06,+181.1945961E-03,+152.8581727E-03
+5.5800E-06,+181.1945961E-03,+161.6018912E-03
+5.8100E-06,+181.2900734E-03,+170.4963634E-03
+6.0400E-06,+181.1945961E-03,+178.9385744E-03
+6.2700E-06,+181.1945961E-03,+187.6822929E-03
+6.5000E-06,+181.2900734E-03,+196.4260114E-03
+6.7300E-06,+181.3855508E-03,+205.0189761E-03
+6.9600E-06,+181.3855508E-03,+213.1596796E-03
+7.1900E-06,+181.3855508E-03,+221.3003830E-03
+7.4200E-06,+181.4810282E-03,+229.4410864E-03
+7.6500E-06,+181.5765056E-03,+237.4310361E-03
+7.8800E-06,+181.6719830E-03,+244.9687244E-03
+8.1100E-06,+181.7674604E-03,+252.3556590E-03
+8.3400E-06,+181.7674604E-03,+259.5918399E-03
+8.5700E-06,+181.8629378E-03,+266.3757594E-03
+8.8000E-06,+182.0538925E-03,+272.8581714E-03
+9.0300E-06,+182.0538925E-03,+279.0390758E-03
+9.2600E-06,+182.1493699E-03,+285.0692265E-03
+9.4900E-06,+182.2448473E-03,+290.4963621E-03
+9.7200E-06,+182.3403247E-03,+295.7727440E-03
+9.9500E-06,+182.4358021E-03,+300.5968645E-03
+10.1800E-06,+182.4358021E-03,+305.1194776E-03
+10.4100E-06,+182.5312795E-03,+309.1898293E-03
+10.6400E-06,+182.5312795E-03,+313.2601810E-03
+10.8700E-06,+182.6267568E-03,+316.4260101E-03
+11.1000E-06,+182.7222342E-03,+319.5918392E-03
+11.3300E-06,+182.7222342E-03,+322.1546533E-03
+11.5600E-06,+182.8177116E-03,+324.5667135E-03
+11.7900E-06,+183.0086664E-03,+326.0742512E-03
+12.0200E-06,+183.1041438E-03,+327.5817889E-03
+12.2500E-06,+183.1996212E-03,+328.3355577E-03
+12.4800E-06,+183.2950985E-03,+329.0893266E-03
+12.7100E-06,+183.3905759E-03,+329.3908341E-03
+12.9400E-06,+183.4860533E-03,+329.2400803E-03
+13.1700E-06,+183.5815307E-03,+328.4863115E-03
+13.4000E-06,+183.7724855E-03,+327.8832964E-03
+13.6300E-06,+183.8679629E-03,+326.5265125E-03
+13.8600E-06,+183.9634402E-03,+325.1697286E-03
+14.0900E-06,+183.9634402E-03,+323.0591759E-03
+14.3200E-06,+184.0589176E-03,+320.6471156E-03
+14.5500E-06,+184.0589176E-03,+317.7827940E-03
+14.7800E-06,+184.1543950E-03,+314.7677187E-03
+15.0100E-06,+184.1543950E-03,+311.4511358E-03
+15.2400E-06,+184.2498724E-03,+307.6822916E-03
+15.4700E-06,+184.3453498E-03,+303.7626937E-03
+15.7000E-06,+184.3453498E-03,+299.3908344E-03
+15.9300E-06,+184.4408272E-03,+294.8682214E-03
+16.1600E-06,+184.5363046E-03,+290.1948546E-03
+16.3900E-06,+184.5363046E-03,+285.3707341E-03
+16.6200E-06,+184.6317819E-03,+279.9435984E-03
+16.8500E-06,+184.7272593E-03,+274.3657090E-03
+17.0800E-06,+184.7272593E-03,+268.7878197E-03
+17.3100E-06,+184.8227367E-03,+262.9084227E-03
+17.5400E-06,+184.9182141E-03,+257.0290258E-03
+17.7700E-06,+184.9182141E-03,+250.6973676E-03
+18.0000E-06,+184.9182141E-03,+244.6672169E-03
+18.2300E-06,+185.0136915E-03,+238.0340511E-03
+18.4600E-06,+185.0136915E-03,+231.4008854E-03
+18.6900E-06,+185.0136915E-03,+224.7677196E-03
+18.9200E-06,+185.0136915E-03,+218.1345539E-03
+19.1500E-06,+185.0136915E-03,+211.5013881E-03
+19.3800E-06,+185.0136915E-03,+205.1697299E-03
+19.6100E-06,+185.0136915E-03,+198.2350566E-03
+19.8400E-06,+185.0136915E-03,+191.7526446E-03
+20.0700E-06,+185.0136915E-03,+184.9687251E-03
+20.3000E-06,+185.0136915E-03,+178.3355593E-03
+20.5300E-06,+185.0136915E-03,+172.1546549E-03
+20.7600E-06,+185.1091689E-03,+165.8229966E-03
+20.9900E-06,+185.0136915E-03,+159.6420922E-03
+21.2200E-06,+185.0136915E-03,+153.4611877E-03
+21.4500E-06,+184.9182141E-03,+147.4310370E-03
+21.6800E-06,+184.9182141E-03,+141.4008864E-03
+21.9100E-06,+184.8227367E-03,+135.5214894E-03
+22.1400E-06,+184.8227367E-03,+130.0943538E-03
+22.3700E-06,+184.7272593E-03,+124.6672182E-03
+22.6000E-06,+184.7272593E-03,+119.3908363E-03
+22.8300E-06,+184.6317819E-03,+114.4159620E-03
+23.0600E-06,+184.5363046E-03,+109.8933490E-03
+23.2900E-06,+184.4408272E-03,+105.2199822E-03
+23.5200E-06,+184.4408272E-03,+100.6973692E-03
+23.7500E-06,+184.3453498E-03,+96.9285250E-03
+23.9800E-06,+184.3453498E-03,+93.3104346E-03
+24.2100E-06,+184.2498724E-03,+89.6923442E-03
+24.4400E-06,+184.2498724E-03,+86.5265151E-03
+24.6700E-06,+184.1543950E-03,+83.6621935E-03
