second,Volt1,Volt2
-5.40000E-03,-678.39E-06,-499.62E-06
-5.36300E-03,-678.39E-06,-499.62E-06
-5.32600E-03,-678.39E-06,-499.62E-06
-5.28900E-03,-678.39E-06,-499.62E-06
-5.25200E-03,-678.39E-06,-499.62E-06
-5.21500E-03,-678.39E-06,-499.62E-06
-5.17800E-03,-678.39E-06,-499.62E-06
-5.14100E-03,-678.39E-06,-499.62E-06
-5.10400E-03,-678.39E-06,-499.62E-06
-5.06700E-03,-678.39E-06,-499.62E-06
-5.03000E-03,-678.39E-06,-499.62E-06
-4.99300E-03,-678.39E-06,-499.62E-06
-4.95600E-03,-678.39E-06,-499.62E-06
-4.91900E-03,-678.39E-06,-499.62E-06
-4.88200E-03,-678.39E-06,-499.62E-06
-4.84500E-03,-678.39E-06,-499.62E-06
-4.80800E-03,-678.39E-06,-499.62E-06
-4.77100E-03,-678.39E-06,-499.62E-06
-4.73400E-03,-678.39E-06,-499.62E-06
-4.69700E-03,-678.39E-06,-499.62E-06
-4.66000E-03,-678.39E-06,-499.62E-06
-4.62300E-03,-678.39E-06,-499.62E-06
-4.58600E-03,-678.39E-06,-499.62E-06
-4.54900E-03,-678.39E-06,-499.62E-06
-4.51200E-03,-678.39E-06,-499.62E-06
-4.47500E-03,-678.39E-06,-499.62E-06
-4.43800E-03,-678.39E-06,-499.62E-06
-4.40100E-03,-678.39E-06,-499.62E-06
-4.36400E-03,-678.39E-06,-499.62E-06
-4.32700E-03,-678.39E-06,-499.62E-06
-4.29000E-03,-678.39E-06,-499.62E-06
-4.25300E-03,-678.39E-06,-499.62E-06
-4.21600E-03,-678.39E-06,-499.62E-06
-4.17900E-03,-678.39E-06,-499.62E-06
-4.14200E-03,-678.39E-06,-499.62E-06
-4.10500E-03,-678.39E-06,-499.62E-06
-4.06800E-03,-678.39E-06,-499.62E-06
-4.03100E-03,-678.39E-06,-499.62E-06
-3.99400E-03,-678.39E-06,-499.62E-06
-3.95700E-03,-678.39E-06,-499.62E-06
-3.92000E-03,-678.39E-06,-499.62E-06
-3.88300E-03,-678.39E-06,-499.62E-06
-3.84600E-03,-678.39E-06,-499.62E-06
-3.80900E-03,-678.39E-06,-499.62E-06
-3.77200E-03,-678.39E-06,-499.62E-06
-3.73500E-03,-678.39E-06,-499.62E-06
-3.69800E-03,-678.39E-06,-499.62E-06
-3.66100E-03,-678.39E-06,-499.62E-06
-3.62400E-03,-678.39E-06,-499.62E-06
-3.58700E-03,-678.39E-06,-499.62E-06
-3.55000E-03,-678.39E-06,-499.62E-06
-3.51300E-03,-678.39E-06,-499.62E-06
-3.47600E-03,-678.39E-06,-499.62E-06
-3.43900E-03,-678.39E-06,-499.62E-06
-3.40200E-03,-678.39E-06,-499.62E-06
-3.36500E-03,-678.39E-06,-499.62E-06
-3.32800E-03,-678.39E-06,-499.62E-06
-3.29100E-03,-678.39E-06,-499.62E-06
-3.25400E-03,-678.39E-06,-499.62E-06
-3.21700E-03,-678.39E-06,-499.62E-06
-3.18000E-03,-678.39E-06,-499.62E-06
-3.14300E-03,-678.39E-06,-499.62E-06
-3.10600E-03,-678.39E-06,-499.62E-06
-3.06900E-03,-678.39E-06,-499.62E-06
-3.03200E-03,-678.39E-06,-499.62E-06
-2.99500E-03,-678.39E-06,-499.62E-06
-2.95800E-03,-678.39E-06,-499.62E-06
-2.92100E-03,-678.39E-06,-499.62E-06
-2.88400E-03,-678.39E-06,-499.62E-06
-2.84700E-03,-678.39E-06,-499.62E-06
-2.81000E-03,-678.39E-06,-499.62E-06
-2.77300E-03,-678.39E-06,-499.62E-06
-2.73600E-03,-678.39E-06,-499.62E-06
-2.69900E-03,-678.39E-06,-499.62E-06
-2.66200E-03,-678.39E-06,-499.62E-06
-2.62500E-03,-678.39E-06,-499.62E-06
-2.58800E-03,-678.39E-06,-499.62E-06
-2.55100E-03,-678.39E-06,-499.62E-06
-2.51400E-03,-678.39E-06,-499.62E-06
-2.47700E-03,-678.39E-06,-499.62E-06
-2.44000E-03,-678.39E-06,-499.62E-06
-2.40300E-03,-678.39E-06,-499.62E-06
-2.36600E-03,-678.39E-06,-499.62E-06
-2.32900E-03,-678.39E-06,-499.62E-06
-2.29200E-03,-678.39E-06,-499.62E-06
-2.25500E-03,-678.39E-06,-499.62E-06
-2.21800E-03,-678.39E-06,-499.62E-06
-2.18100E-03,-678.39E-06,-499.62E-06
-2.14400E-03,-678.39E-06,-499.62E-06
-2.10700E-03,-678.39E-06,-499.62E-06
-2.07000E-03,-678.39E-06,-499.62E-06
-2.03300E-03,-678.39E-06,-499.62E-06
-1.99600E-03,-678.39E-06,-499.62E-06
-1.95900E-03,-678.39E-06,-499.62E-06
-1.92200E-03,-678.39E-06,-499.62E-06
-1.88500E-03,-678.39E-06,-499.62E-06
-1.84800E-03,-678.39E-06,-499.62E-06
-1.81100E-03,-678.39E-06,-499.62E-06
-1.77400E-03,-678.39E-06,-499.62E-06
-1.73700E-03,-678.39E-06,-499.62E-06
-1.70000E-03,-678.39E-06,-499.62E-06
-1.66300E-03,-678.39E-06,-499.62E-06
-1.62600E-03,-678.39E-06,-499.62E-06
-1.58900E-03,-678.39E-06,-499.62E-06
-1.55200E-03,-678.39E-06,-499.62E-06
-1.51500E-03,-678.39E-06,-499.62E-06
-1.47800E-03,-678.39E-06,-499.62E-06
-1.44100E-03,-678.39E-06,-499.62E-06
-1.40400E-03,-678.39E-06,-499.62E-06
-1.36700E-03,-678.39E-06,-499.62E-06
-1.33000E-03,-678.39E-06,-499.62E-06
